Word:,Definition:,,,,,
desalojos,Los desalojos obligan a la gente a dejar la casa en que viven. Un desalojo legal en general requiere que un juez firme una orden de desalojo.,,,,,
ex parte,"Un procedimiento legal iniciado en el tribunal por una parte solamente, sin dar aviso ni permitir a la otra parte que se oponga. ",,,,,
activos exentos o inembargables,Bienes que el deudor puede retener y que no quedan sujetos a los reclamos de los acreedores que no tengan un derecho de retención sobre ellos. ,,,,,
bienes exentos,Cierta propiedad o bienes de un deudor individual que el Código de Quiebras o las leyes estatales pertinentes le permiten retener de los acreedores sin garantía.,,,,,
audiencia imparcial,Una manera de disputar una decisión de DSS con la que no está de acuerdo. Las audiencias imparciales son administradas por la Oficina de Ayuda Temporal y Discapacidades del Estado de Nueva York. Un juez considerará su problema y decidirá qué medida se debe tomar al respecto.,,,,,
Valor justo de mercado,La cantidad de dinero por la que un vendedor dispuesto puede vender un objeto en el mercado abierto a un comprador dispuesto.,,,,,
delito grave,"Un delito mayor, que en general se castiga por lo menos con un año en prisión. ",,,,,
ejecución hipotecaria,El proceso legal utilizado por un prestamista para tomar posesión de una propiedad cuando el prestatario no ha efectuado sus pagos hipotecarios. Los bancos usan la ejecución hipotecaria para sacar a los prestatarios de sus casas.,,,,,
tutor,La persona nombrada por un juez para cuidar a un menor o un adulto incapaz.,,,,,
patrimonio,"Lo que uno recibe al fallecimiento de un pariente, dispuesto por las leyes sucesorias o por los términos del testamento.",,,,,
herencia,"Lo que uno recibe al fallecimiento de un pariente, dispuesto por las leyes sucesorias o por los términos del testamento.",,,,,
intestado,Cuando una persona fallece sin dejar un testamento válido.,,,,,
competencia,"La autoridad jurídica de un tribunal para considerar y decidir cierto tipo de caso. También se usa como sinónimo de jurisdicción territorial, o sea el área geográfica sobre la cual el tribunal tiene competencia para decidir casos. ",,,,,
propietario,"Una persona que alquila un terreno, un edificio o un departamento a un inquilino.",,,,,
despacho de abogados,Una organización formada por uno o más abogados para dedicarse al ejercicio del derecho.,,,,,
demanda judicial,"Una acción legal iniciada por un demandante en contra de un demandado debido a que este último no cumplió con un deber legal, lo cual le causó daño al demandante.",,,,,
contrato de alquiler,"Un acuerdo oral o escrito, expreso o implícito, que crea una relación de propietario a inquilino. ",,,,,
custodia legal,El derecho de un padre a tomar decisiones importantes sobre la vida del menor.,,,,,
responsabilidad,La obligación legal de responder por los actos u omisiones propios.,,,,,
derecho de retención,Un reclamo contra una propiedad que se puede usar para pagar una deuda.,,,,,
liquidación,"La venta de una propiedad del deudor, cuyos fondos se usarán para beneficio de los acreedores.",,,,,
litigante,"Cualquiera de las partes de una demanda. No incluye al juez, los testigos ni los abogados. ",,,,,
litigio,"Un caso, controversia, o pleito. Los participantes (demandantes y demandados) del pleito se llaman litigantes. ",,,,,
documento de voluntad anticipada,"Un testamento en vida, o documento de voluntad anticipada, generalmente se usa para decir que si usted tiene una enfermedad terminal no quiere que se usen procedimientos para demorar su muerte. También puede autorizar a una persona a tomar decisiones sobre su atención de la salud si usted queda incapacitado.",,,,,
testamento en vida,"Un testamento en vida, o documento de voluntad anticipada, generalmente se usa para decir que si usted tiene una enfermedad terminal no quiere que se usen procedimientos para demorar su muerte. También puede autorizar a una persona a tomar decisiones sobre su atención de la salud si usted queda incapacitado.",,,,,
bienes conyugales,Todos los bienes que cualquiera de los cónyuges compró durante el matrimonio. No importa a nombre de quién están los bienes.,,,,,
bienes en común,Todos los bienes que cualquiera de los cónyuges compró durante el matrimonio. No importa a nombre de quién están los bienes.,,,,,
prueba de insuficiencia de medios,La sección 707(b)(2) del Código de Quiebras usa una “prueba de insuficiencia de medios” para determinar si la presentación de un deudor conforme al capítulo 7 se puede considerar un abuso del Código de Quiebras.,,,,,
mediación,"Proceso de resolución alternativa de conflictos en el que una tercera parte neutral, el mediador, asiste a dos o más partes para ayudarles a negociar un acuerdo. ",,,,,
delito menor,Una infracción que se castiga con un año de prisión o menos.,,,,,
hipoteca,Una promesa de entregar una propiedad específica como garantía del pago de una deuda. El deudor hipotecario es la persona que promete entregar la propiedad. El acreedor hipotecario es el que acepta la promesa.,,,,,
notario público,Una persona autorizada por el estado a prestar juramento.,,,,,
juramento,"Una promesa de decir la verdad, y que responsabiliza a la persona juramentada por perjurio si mintió a sabiendas.",,,,,
ordenanza,"La legislación local de una ciudad, pueblo, municipalidad o condado, dictada por el órgano legislativo local.",,,,,
perjurio,"El delito de mentir intencionalmente después de haber jurado decir la verdad ante un notario público, el secretario del tribunal u otro funcionario.",,,,,
bien personal,"Un bien o posesión mueble, a diferencia de una propiedad inmueble. ",,,,,
custodia física,Donde un hijo debería vivir. La custodia legal es distinta de la custodia física. La custodia legal indica quién puede tomar decisiones por el hijo.,,,,,
demandante,La persona o empresa que presenta una demanda formal ante el tribunal.,,,,,
escritos iniciales,Declaraciones escritas presentadas ante el tribunal que describen las afirmaciones legales o sobre los hechos de una de las partes del caso.,,,,,
poder,Un documento que le otorga a alguien autorización para actuar en su nombre en asuntos específicos. La persona que actúa en nombre de otra es su representante (o también mandatario o apoderado). La persona que le da la autorización al apoderado se llama mandante o poderdante.,,,,,
pro se,Que se representa a sí mismo. Actuar como su propio abogado.,,,,,
sucesión,El proceso de probar que un testamento es válido y después hacer lo que dice el testamento.,,,,,
condena condicional,Una opción de condena en los tribunales federales.,,,,,
notificador legal,"Cualquier persona mayor de 18 años de edad que no esté involucrada en el caso y que entrega la citación y una copia de la demanda, y después proporciona al tribunal una declaración jurada de que realizó la entrega.",,,,,
persona que entrega documentos legales,"Cualquier persona mayor de 18 años de edad que no esté involucrada en el caso y que entrega la citación y una copia de la demanda, y después proporciona al tribunal una declaración jurada de que realizó la entrega.",,,,,
bienes del patrimonio,Todos los intereses legales o patrimoniales del deudor en propiedad al comienzo del caso.,,,,,
orden de protección,Orden no penal obtenida por un cónyuge abusado contra un cónyuge abusivo.,,,,,
depósito de garantía,"Una cantidad de dinero que se da al propietario y que se puede usar para cubrir alquileres impagos, daños o gastos de limpieza. ",,,,,
bienes por separado,"Un bien que uno de los cónyuges tenía antes del matrimonio. Cualquier herencia recibida por uno de los cónyuges, aun durante el matrimonio, es bien por separado. También lo son las donaciones personales (a menos que hayan provenido del otro cónyuge) y pagos por lesiones personales.",,,,,
entrega de proceso o aviso legal,La entrega de escritos o citaciones a la parte apropiada.,,,,,
cónyuge,Esposo o esposa.,,,,,
ley,Una ley aprobada por una legislatura.,,,,,
ley de prescripción,El plazo en el que se debe presentar una demanda o iniciar una causa penal. Este plazo puede variar según el tipo de caso civil o el delito del cual se acusa. ,,,,,
citatorio,Una orden emitida en virtud de la autoridad de un tribunal para que comparezca un testigo y preste testimonio. ,,,,,
subsidio,"Dinero dado por una entidad gubernamental para mantener un precio bajo. En programas de vivienda, un subsidio frecuentemente es dinero que se paga a un propietario como parte del alquiler de un inquilino.",,,,,
inquilinato,"El derecho exclusivo del inquilino, creado por el acuerdo de alquiler entre el propietario y el inquilino, a usar y poseer la unidad de alquiler del propietario.",,,,,
inquilino,Una persona que tiene el derecho legal de vivir en o usar una propiedad,,,,,
testador,Una persona que ha escrito un testamento.,,,,,
testimonio,Pruebas presentadas oralmente por testigos durante juicios o ante jurados de acusación.,,,,,
divorcio de común acuerdo,"Cuando el demandado no va a tratar de parar el proceso de divorcio y el tribunal no tiene asuntos que decidir sobre los hijos, dinero o bienes. ",,,,,
influencia indebida,"La cantidad de presión que alguien usa para obligar a otra a firmar un testamento que distribuya los activos de una cierta manera, hacer una donación mientras esté con vida o firmar un contrato. ",,,,,
embargo de sueldo,Un procedimiento legal fuera de la ley de quiebras por el cual un demandante o acreedor trata de sujetar su reclamo al sueldo futuro de un deudor.,,,,,
mandamiento,"Una orden del tribunal mediante la que se instruye a una persona que tome, o deje de tomar, una medida en particular. ",,,,,
